lon	lat	2011-2040_PRCPTOT JJA (mm)_RCP45	2011-2040_PRCPTOT JJA (mm)_RCP85	2011-2040_TX30 (days)_RCP45	2011-2040_TX30 (days)_RCP85	2011-2040_PR95PERC (%)_RCP45	2011-2040_PR95PERC (%)_RCP85	2041-2070_PRCPTOT JJA (mm)_RCP45	2041-2070_PRCPTOT JJA (mm)_RCP85	2041-2070_TX30 (days)_RCP45	2041-2070_TX30 (days)_RCP85	2041-2070_PR95PERC (%)_RCP45	2041-2070_PR95PERC (%)_RCP85	2071-2100_PRCPTOT JJA (mm)_RCP45	2071-2100_PRCPTOT JJA (mm)_RCP85	2071-2100_TX30 (days)_RCP45	2071-2100_TX30 (days)_RCP85	2071-2100_PR95PERC (%)_RCP45	2071-2100_PR95PERC (%)_RCP85
10,2132	45,6388	-68	-37	3	2	3	5	-136	-130	11	18	6	10	-104	-199	16	46	11	30
10,3152	45,6385	-73	-38	2	2	-2	6	-114	-137	9	16	6	11	-107	-193	14	44	11	26
10,4171	45,6382	-53	-25	3	2	-1	12	-135	-131	11	18	8	13	-110	-207	17	47	12	33
10,5191	45,6377	-42	-31	4	3	0	14	-124	-118	15	22	12	14	-107	-189	21	52	12	36
10,6211	45,6372	-29	-28	1	1	-2	14	-86	-83	6	11	17	16	-71	-144	10	37	17	32
10,7230	45,6366	-39	-32	5	4	1	10	-98	-90	17	24	14	14	-71	-156	23	54	18	26
10,8250	45,6358	-61	-37	2	1	1	11	-115	-113	8	14	15	11	-92	-188	13	42	16	27
10,9269	45,6350	-42	-17	0	0	2	14	-108	-108	3	5	18	16	-84	-180	5	26	17	30
11,0289	45,6340	-38	-18	0	0	1	11	-106	-101	2	3	14	17	-95	-173	2	20	15	31
11,1308	45,6330	-42	-26	0	0	-1	5	-130	-121	2	4	10	12	-105	-198	3	21	12	31
11,2328	45,6319	-56	-30	1	1	-2	7	-168	-165	6	11	7	10	-129	-242	10	36	13	32
11,3347	45,6306	-53	-50	4	4	2	8	-163	-167	18	26	13	15	-126	-227	25	56	12	28
11,4366	45,6293	-48	-41	8	7	4	13	-121	-131	29	36	18	16	-100	-183	34	68	18	33
11,5386	45,6279	-38	-35	9	8	5	15	-102	-107	32	38	16	19	-86	-147	36	68	19	37
11,6405	45,6264	-30	-17	10	10	7	12	-92	-93	33	38	16	14	-72	-124	35	66	17	30
11,7424	45,6248	-28	-11	10	9	8	11	-87	-86	33	38	12	21	-69	-119	35	67	14	29
11,8443	45,6231	-13	-12	10	9	15	17	-85	-82	33	37	18	24	-67	-116	35	66	20	37
11,9462	45,6212	-12	-12	11	9	16	17	-82	-80	33	37	20	23	-64	-110	35	66	25	37
12,0481	45,6193	-10	-9	10	9	13	18	-80	-75	32	36	19	28	-57	-102	35	65	24	37
12,1500	45,6173	-8	-7	11	9	9	12	-74	-70	31	35	13	23	-57	-99	35	65	17	31
12,2519	45,6152	-9	-6	10	9	9	12	-74	-70	30	35	14	24	-58	-96	35	65	18	37
12,3538	45,6130	-11	-9	10	10	6	11	-67	-68	30	34	12	23	-55	-91	35	65	18	35
12,4556	45,6107	-19	-13	10	9	5	13	-69	-66	30	34	11	20	-57	-94	35	65	15	34
12,5575	45,6083	-15	-11	10	9	4	12	-60	-60	29	34	11	16	-53	-89	35	65	12	27
12,6593	45,6058	-14	-10	10	9	3	12	-54	-56	28	34	12	23	-49	-86	35	65	18	29
12,7612	45,6032	-9	-4	8	8	0	6	-49	-49	27	33	9	18	-39	-80	34	65	18	21
12,8630	45,6006	-7	-6	6	6	2	3	-47	-43	21	28	13	23	-34	-73	29	61	20	26
6,9477	45,6669	8	-4	0	0	-1	6	-30	-83	0	0	8	6	-73	-172	0	1	7	13
7,0497	45,6697	-5	-14	0	0	-5	5	-31	-81	0	0	7	5	-77	-172	0	3	6	13
7,1516	45,6725	-22	-10	0	0	-3	8	-36	-97	0	0	9	7	-87	-173	0	10	8	18
7,2536	45,6752	-32	-32	0	0	-4	5	-48	-102	0	1	7	9	-84	-161	1	13	11	15
7,3556	45,6777	-35	-26	0	0	-3	9	-58	-99	0	1	8	10	-85	-159	1	12	16	16
7,4576	45,6802	-37	-23	0	0	-2	6	-73	-106	0	1	6	12	-90	-168	1	10	16	19
7,5596	45,6826	-35	-24	0	0	-4	7	-85	-102	0	1	6	11	-100	-184	1	12	21	19
7,6616	45,6849	-46	-22	0	0	-4	7	-94	-118	0	1	8	12	-109	-187	1	11	18	20
7,7636	45,6871	-57	-29	0	0	-3	10	-115	-132	0	0	12	13	-130	-220	0	7	19	24
7,8656	45,6892	-78	-20	0	0	-4	9	-129	-154	0	0	12	12	-138	-237	0	3	21	25
7,9676	45,6912	-93	-14	0	0	-1	11	-169	-191	0	0	12	13	-176	-300	0	3	23	26
8,0697	45,6931	-68	-34	0	0	-5	12	-218	-265	0	1	14	10	-224	-389	1	14	26	30
8,1717	45,6949	-91	4	1	1	3	13	-169	-209	4	9	18	12	-215	-343	7	34	22	33
8,2738	45,6965	-65	-2	5	4	0	11	-138	-161	17	25	14	9	-157	-263	22	55	16	31
8,3758	45,6982	-68	-7	8	6	-1	5	-134	-138	24	33	6	6	-124	-217	30	63	14	25
8,4779	45,6997	-53	0	9	6	-4	3	-119	-120	26	35	5	7	-95	-191	32	65	9	23
8,5800	45,7011	-57	-19	9	7	0	3	-123	-115	27	36	5	8	-101	-192	33	65	8	24
8,6820	45,7024	-57	-18	10	8	-3	3	-119	-115	30	38	2	9	-93	-189	34	67	8	18
8,7841	45,7036	-45	-10	10	9	0	10	-113	-108	30	38	6	13	-84	-177	35	67	7	24
8,8862	45,7047	-34	-7	9	8	3	7	-98	-91	29	37	9	13	-68	-159	33	66	9	24
8,9883	45,7057	-40	-23	9	7	-1	3	-102	-103	29	36	6	11	-65	-168	32	65	9	24
9,0904	45,7066	-39	-35	8	7	-2	-1	-112	-110	28	36	-1	6	-76	-179	32	65	6	17
9,1925	45,7074	-31	-27	8	7	1	2	-110	-121	28	36	5	12	-82	-184	32	65	10	21
9,2946	45,7082	-31	-42	9	7	6	5	-117	-129	28	37	8	13	-86	-190	32	65	12	24
9,3967	45,7088	-45	-34	8	6	4	1	-125	-125	25	34	2	9	-85	-189	30	64	10	22
9,4988	45,7093	-38	-34	8	6	4	1	-128	-119	25	33	4	7	-93	-199	30	64	7	23
